brand,model,model_year,Mileage(mi),fuel_type,engine,transmission,ext_col,accident,Accident_var,clean_title,price
Toyota,Camry Solara SLE V6,2000,245000,Gasoline,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,1,Yes,2500
Toyota,4Runner Venture,2021,27000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,48500
Toyota,4Runner Sport,2004,220450,Gasoline,245.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,None reported,0,Yes,8550
Nissan,Juke SL,2012,115359,Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,A/T,Black,None reported,0,Yes,9950
Nissan,Rogue SL,2017,148000,Gasoline,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,None reported,0,Yes,13000
Nissan,Altima 2.5 S,2015,149800,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,At least 1 accident or damage reported,1,Yes,11600
Toyota,4Runner TRD Pro,2021,35048,Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Lunar Rock,None reported,0,No,52590
Toyota,Prius Two,2014,80354,Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Red,At least 1 accident or damage reported,1,Yes,13310
Toyota,Tundra Grade,2013,92700,Gasoline,310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,At least 1 accident or damage reported,1,Yes,20800
Honda,Civic EX,2014,82500,Gasoline,143.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,None reported,0,Yes,15000
Nissan,Murano SL,2007,120000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,None reported,0,Yes,6750
Toyota,Sequoia SR5,2010,154860,Gasoline,310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,None reported,0,Yes,17900
